"Period"|"Value"|"Metric_name"|"Data_source_desc"|"current_dttm"
"Feb-2018"|"1332"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Apr-2018"|"1387"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Nov-2019"|"1510"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Jun-2018"|"1317"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Dec-2020"|"NA"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Aug-2018"|"1258"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Dec-2019"|"1457"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Jun-2019"|"1273"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Jul-2020"|"NA"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"May-2018"|"1330"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"Mar-2020"|"1356"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
"May-2020"|"1216"|"Housing Starts in 1000s"|"U.S. Census Bureau
Source: New Residential Construction
Annual Rate for Housing Units Authorized in Permit-Issuing Places: United States
Seasonally Adjusted Total Units [Thousands of Units]
Period: 2018 to 2020
Data Extracted on: August 14, 2020 (2:40 pm)
"|"2020-08-14 11:40:49.660235"
