"Month"|"Year"|"Consumer_Sentiment_Index"
"June"|"2019"|"98.2"
"July"|"2019"|"98.4"
"August"|"2019"|"89.8"
"September"|"2019"|"93.2"
"October"|"2019"|"95.5"
"November"|"2019"|"96.8"
"December"|"2019"|"99.3"
"January"|"2020"|"99.8"
"February"|"2020"|"101.0"
"March"|"2020"|"89.1"
"April"|"2020"|"71.8"
"May"|"2020"|"72.3"
"June"|"2020"|"78.1"
