"Metric_value"|"isPartial"|"Trend_Name"|"Metric_Name"|"current_dttm"|"Keyword_List"|"Cat_CD"|"Type"|"date"
"66"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-12 00:00:00.000000"
"75"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-12 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-12 00:00:00.000000"
"36"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-13 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-13 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-13 00:00:00.000000"
"40"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-14 00:00:00.000000"
"65"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-14 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-14 00:00:00.000000"
"37"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-15 00:00:00.000000"
"67"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-15 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-15 00:00:00.000000"
"40"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-16 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-16 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-16 00:00:00.000000"
"63"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-17 00:00:00.000000"
"69"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-17 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-17 00:00:00.000000"
"100"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-18 00:00:00.000000"
"76"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-18 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-18 00:00:00.000000"
"84"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-19 00:00:00.000000"
"77"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-19 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-19 00:00:00.000000"
"66"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-20 00:00:00.000000"
"72"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-20 00:00:00.000000"
"0"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-20 00:00:00.000000"
"40"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-21 00:00:00.000000"
"67"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-21 00:00:00.000000"
"2"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-21 00:00:00.000000"
"33"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-22 00:00:00.000000"
"64"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-22 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-22 00:00:00.000000"
"34"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-23 00:00:00.000000"
"65"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-23 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-23 00:00:00.000000"
"54"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-24 00:00:00.000000"
"70"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-24 00:00:00.000000"
"7"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-24 00:00:00.000000"
"88"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-25 00:00:00.000000"
"74"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-25 00:00:00.000000"
"8"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-25 00:00:00.000000"
"66"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-26 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-26 00:00:00.000000"
"9"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-26 00:00:00.000000"
