"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"Nbr_at_location"|"People_type"
"1"|"Teradata"|"Virtual-7920"|"Employee"|"n/a"|"Basking Ridge"|"NJ"|"07920"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-64034"|"Employee"|"n/a"|"Greenwood"|"MO"|"64034"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-60646"|"Employee"|"n/a"|"Chicago"|"IL"|"60646"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-76039"|"Employee"|"n/a"|"Euless"|"TX"|"76039"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-92606"|"Employee"|"n/a"|"Irvine"|"CA"|"92606"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-72745"|"Employee"|"n/a"|"Lowell"|"AR"|"72745"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-30168"|"Employee"|"n/a"|"Austell"|"GA"|"30168"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-60047"|"Employee"|"n/a"|"Lake Zurich"|"IL"|"60047"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-63117"|"Employee"|"n/a"|"Saint Louis"|"MO"|"63117"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30144"|"Employee"|"n/a"|"Kennesaw"|"GA"|"30144"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-91501"|"Employee"|"n/a"|"Burbank"|"CA"|"91501"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-12533"|"Employee"|"n/a"|"Hopewell Junction"|"NY"|"12533"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-80107"|"Employee"|"n/a"|"Elizabeth"|"CO"|"80107"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-27519"|"Employee"|"n/a"|"Cary"|"NC"|"27519"|"AMERICAS"|"USA"|"6"|"Office"
"1"|"Teradata"|"Virtual-75063"|"Employee"|"n/a"|"Irving"|"TX"|"75063"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-45419"|"Employee"|"n/a"|"Dayton"|"OH"|"45419"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-92679"|"Employee"|"n/a"|"Trabuco Canyon"|"CA"|"92679"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-98027"|"Employee"|"n/a"|"Issaquah"|"WA"|"98027"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-84095"|"Employee"|"n/a"|"South Jordan"|"UT"|"84095"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-75081"|"Employee"|"n/a"|"Richardson"|"TX"|"75081"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-43054"|"Employee"|"n/a"|"New Albany"|"OH"|"43054"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-90631"|"Employee"|"n/a"|"La Habra"|"CA"|"90631"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-77546"|"Employee"|"n/a"|"Friendswood"|"TX"|"77546"|"AMERICAS"|"USA"|"1"|"Virtual"
